image,mask_id,label,occluded,polygon_index,area,visible_fraction,match_score,rebuilt
target_acquarium,2,rock,1,16,114830,0.772153,1.0,False
target_acquarium,3,water,1,17,112758,0.866303,1.0,False
target_acquarium,4,sand,1,18,4823,0.907773,1.0,False
target_acquarium,5,rock,1,19,43940,0.833713,1.0,False
target_acquarium,6,rock,1,20,200207,0.827168,1.0,False
target_acquarium,7,coral,1,29,5113,0.977816,1.0,False
target_acquarium,8,surface,1,34,180810,0.914119,1.0,False
target_acquarium,10,coral,1,43,1001,0.809871,1.0,False
target_acquarium,11,coral,0,0,3016,0.998675,1.0,False
target_acquarium,12,coral,0,32,563,1.0,1.0,False
target_acquarium,13,coral,0,25,2102,1.0,1.0,False
target_acquarium,14,coral,0,26,2260,1.0,1.0,False
target_acquarium,15,surface,0,27,13066,1.0,1.0,False
target_acquarium,16,coral,0,28,5456,1.0,1.0,False
target_acquarium,17,coral,0,30,1939,1.0,1.0,False
target_acquarium,18,coral,0,31,3798,1.0,1.0,False
target_acquarium,19,surface,0,33,1519,1.0,1.0,False
target_acquarium,20,coral,0,1,4441,0.993068,1.0,False
target_acquarium,21,coral,0,36,967,1.0,1.0,False
target_acquarium,22,coral,0,37,1571,1.0,1.0,False
target_acquarium,23,surface,0,38,3399,1.0,1.0,False
target_acquarium,24,surface,0,39,22662,1.0,1.0,False
target_acquarium,25,fish,0,40,1837,1.0,1.0,False
target_acquarium,26,surface,0,41,261,1.0,1.0,False
target_acquarium,27,surface,0,24,568,1.0,1.0,False
target_acquarium,28,coral,0,23,3198,1.0,1.0,False
target_acquarium,29,fish,0,22,15338,1.0,1.0,False
target_acquarium,30,coral,0,21,2656,1.0,1.0,False
target_acquarium,31,coral,0,15,1044,1.0,1.0,False
target_acquarium,32,coral,0,13,429,1.0,1.0,False
target_acquarium,33,surface,0,12,1037,1.0,1.0,False
target_acquarium,34,surface,0,11,266,1.0,1.0,False
target_acquarium,35,surface,0,10,492,1.0,1.0,False
target_acquarium,36,surface,0,9,2407,1.0,1.0,False
target_acquarium,37,surface,0,8,1932,1.0,1.0,False
target_acquarium,38,coral,0,7,1247,1.0,1.0,False
target_acquarium,39,coral,0,6,1897,1.0,1.0,False
target_acquarium,40,sand,0,5,15062,1.0,1.0,False
target_acquarium,41,coral,0,4,550,1.0,1.0,False
target_acquarium,42,surface,0,3,1409,1.0,1.0,False
target_acquarium,43,sand,0,2,3568,1.0,1.0,False
target_acquarium,44,surface,0,42,968,1.0,1.0,False
target_airport,1,lamp,1,2,708,0.314527,1.0,False
target_airport,2,chairs,1,21,13029,0.764927,1.0,False
target_airport,3,lamp,1,23,153,1.0,1.0,False
target_airport,4,chairs,1,24,2612,0.874163,1.0,False
target_airport,5,chairs,1,25,9442,0.926504,1.0,False
target_airport,6,sign,0,1,1320,1.0,1.0,False
target_airport,7,sign,0,3,3283,0.904159,1.0,False
target_airport,8,chairs,0,28,17150,1.0,1.0,False
target_airport,9,chairs,0,27,51157,0.995079,1.0,False
target_airport,10,ceiling_light,0,26,245,1.0,1.0,False
target_airport,11,ceiling_light,0,22,447,1.0,1.0,False
target_airport,12,sign,0,18,306,1.0,1.0,False
target_airport,13,ceiling_light,0,17,469,1.0,1.0,False
target_airport,14,ceiling_light,0,16,186,1.0,1.0,False
target_airport,15,chairs,0,14,24857,1.0,1.0,False
target_airport,16,beam,0,13,4455,0.994642,1.0,False
target_airport,17,beam,0,12,2188,1.0,1.0,False
target_airport,18,chairs,0,11,17089,1.0,1.0,False
target_airport,19,ceiling_light,0,10,538,1.0,1.0,False
target_airport,20,bridge,0,8,15369,1.0,1.0,False
target_airport,21,beam,0,7,7722,0.999353,1.0,False
target_airport,22,sign,0,6,795,1.0,1.0,False
target_airport,23,counter,0,5,7804,0.995916,1.0,False
target_airport,24,ceiling_light,0,4,169,1.0,1.0,False
target_airport,25,beam,0,29,6669,1.0,1.0,False
target_alley,1,building,1,0,10275,0.821606,1.0,False
target_alley,2,building,1,1,188945,0.69435,1.0,False
