image,mask_id,label,occluded,polygon_index,visible_fraction
target_campsite,1,cloud,1,13,1.0
target_campsite,2,cloud,1,14,0.624762
target_campsite,3,hill,1,23,0.541191
target_campsite,4,hill,1,5,0.767558
target_campsite,5,hill,1,7,0.589341
target_campsite,6,tree,1,8,0.815409
target_campsite,7,tree,1,16,0.691002
target_campsite,8,tree,1,19,0.850994
target_campsite,9,tent,1,24,0.080396
target_campsite,10,lake,1,15,0.431395
target_campsite,11,tent,1,22,0.689907
target_campsite,12,tent,1,11,0.74268
target_campsite,13,cloud,0,2,1.0
target_campsite,14,cloud,0,18,1.0
target_campsite,15,cloud,0,12,1.0
target_campsite,16,cloud,0,20,1.0
target_campsite,17,cloud,0,4,1.0
target_campsite,18,tree,0,1,0.747699
target_campsite,19,tent,0,17,1.0
target_campsite,20,trailer,0,9,1.0
target_campsite,21,tent,0,10,1.0
target_campsite,22,van,0,25,1.0
target_canal,1,dock,1,15,0.906673
target_canal,2,building,0,18,1.0
target_canal,3,flag,0,7,0.992519
target_canal,4,lightpole,0,2,0.838565
target_canal,5,boat,0,17,1.0
target_canal,6,boat,0,8,1.0
target_canal,7,building,0,16,0.992054
target_canal,8,building,0,3,1.0
target_canal,9,lightpole,0,1,1.0
target_canal,10,lightpole,0,4,1.0
target_canal,11,lightpole,0,14,0.971355
target_canal,12,lighthouse,0,5,1.0
target_canal,13,lightpole,0,13,1.0
target_canal,14,lightpole,0,10,1.0
target_canyon,1,cloud,1,10,0.932154
target_canyon,2,rocks,1,3,0.228082
target_canyon,3,rocks,1,11,0.79737
target_canyon,4,rocks,1,1,0.911048
target_canyon,5,river,1,7,0.819584
target_canyon,6,plant,0,2,1.0
target_canyon,7,plant,0,9,1.0
target_canyon,8,cloud,0,13,1.0
target_canyon,9,cloud,0,12,1.0
target_canyon,10,plant,0,5,1.0
target_canyon,11,plant,0,4,1.0
target_canyon,12,rock,0,0,1.0
target_canyon,13,rock,0,8,1.0
target_casino,1,slot_machines,1,3,0.66949
target_casino,2,sign,1,25,0.603448
target_casino,3,slot_machines,1,14,0.79704
target_casino,4,slot_machines,1,6,0.988022
target_casino,5,slot_machines,1,4,0.500539
target_casino,6,podium,1,16,0.431546
target_casino,7,sign,1,7,0.9969
target_casino,8,table,1,26,0.83152
target_casino,9,tables,1,8,0.669839
target_casino,10,table,1,22,0.949843
target_casino,11,table,1,23,0.909924
